period,underlying_asset,avg_weight,avg_weight_prev,d_avg_weight
2023-09-30,Commodity (ETF),0.0013614504958982495,,
2023-09-30,Debt,0.008638158873890894,,
2023-09-30,Equity,0.850269390754185,,
2023-09-30,Equity (ETF),0.014320548615520094,,
2023-09-30,Fixed Income (ETF),0.001747455590496804,,
2023-09-30,Options,0.11198049084056713,,
2023-09-30,Preferred,0.011660088795235102,,
2023-09-30,Warrants/Rights,2.2416034206695097e-05,,
2023-12-31,Commodity (ETF),0.00111110568643217,0.0013614504958982495,-0.00025034480946607945
2023-12-31,Debt,0.010001497383707165,0.008638158873890894,0.0013633385098162712
2023-12-31,Equity,0.8513264271179395,0.850269390754185,0.0010570363637545377
2023-12-31,Equity (ETF),0.021014515052168465,0.014320548615520094,0.006693966436648371
2023-12-31,Fixed Income (ETF),0.0015638279145961257,0.001747455590496804,-0.00018362767590067832
2023-12-31,Options,0.10316249236297871,0.11198049084056713,-0.00881799847758842
2023-12-31,Preferred,0.011790681574919432,0.011660088795235102,0.0001305927796843298
2023-12-31,Warrants/Rights,2.945290725852073e-05,2.2416034206695097e-05,7.036873051825633e-06
2024-03-31,Commodity (ETF),0.0023188691822444967,0.00111110568643217,0.0012077634958123267
2024-03-31,Debt,0.008453499658230241,0.010001497383707165,-0.001547997725476924
2024-03-31,Equity,0.855020055953124,0.8513264271179395,0.003693628835184537
2024-03-31,Equity (ETF),0.020553190604989186,0.021014515052168465,-0.0004613244471792788
2024-03-31,Fixed Income (ETF),0.0015167254107061885,0.0015638279145961257,-4.710250388993719e-05
2024-03-31,Options,0.10138670024877307,0.10316249236297871,-0.0017757921142056432
2024-03-31,Preferred,0.010723481663171502,0.011790681574919432,-0.0010671999117479302
2024-03-31,Warrants/Rights,2.747727876140199e-05,2.945290725852073e-05,-1.9756284971187393e-06
2024-06-30,Commodity (ETF),0.000740190715299975,0.0023188691822444967,-0.0015786784669445217
2024-06-30,Debt,0.007285025017695113,0.008453499658230241,-0.0011684746405351276
2024-06-30,Equity,0.8545156890817318,0.855020055953124,-0.0005043668713922145
2024-06-30,Equity (ETF),0.021334259803020953,0.020553190604989186,0.0007810691980317669
2024-06-30,Fixed Income (ETF),0.0013539766632140486,0.0015167254107061885,-0.0001627487474921399
2024-06-30,Options,0.10216681565506565,0.10138670024877307,0.0007801154062925808
2024-06-30,Preferred,0.012573435470848226,0.010723481663171502,0.0018499538076767238
