period,sector,weight_ew,weight_ew_prev,d_qoq,weight_ew_4q,d_yoy,avg_trailing,d_vs_avg,hist_percentile,hist_min,hist_max,weight_bench,active_weight,active_weight_prev,d_active_qoq,overweight_breadth,n_active_managers,n_index_managers,benchmark_name,net_flow,gross_flow,price_effect,n_buyers,n_sellers
2011-09-30,Communication Services,0.04955093215302272,,,,,,,,,,0.05269833658717272,-0.00314740443415,,,0.30952380952380953,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Consumer Discretionary,0.1514181079664969,,,,,,,,,,0.14388311369928053,0.007534994267216377,,,0.40476190476190477,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Consumer Staples,0.1152949946693621,,,,,,,,,,0.07875333481833958,0.03654165985102252,,,0.35714285714285715,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Energy,0.0810188615243642,,,,,,,,,,0.07394392113344071,0.00707494039092349,,,0.2619047619047619,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Financials,0.17987727905775533,,,,,,,,,,0.17274651312455871,0.0071307659331966144,,,0.5476190476190477,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Health Care,0.1367195180022354,,,,,,,,,,0.13442216718210814,0.0022973508201272475,,,0.47619047619047616,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Industrials,0.08823989039735773,,,,,,,,,,0.10759738784108906,-0.01935749744373133,,,0.21428571428571427,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Information Technology,0.09948181123838598,,,,,,,,,,0.12583610967417627,-0.02635429843579029,,,0.35714285714285715,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Materials,0.06195264355819085,,,,,,,,,,0.058822810252925364,0.003129833305265485,,,0.3333333333333333,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Real Estate,0.027174856855625856,,,,,,,,,,0.03314252889966213,-0.005967672044036271,,,0.30952380952380953,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-09-30,Utilities,0.009271104577202918,,,,,,,,,,0.018153776787246747,-0.008882672210043829,,,0.11904761904761904,42,3,"Índice implícito (managers índice, ponderado por valor)",0.0,0.0,0.0,0,0
2011-12-31,Communication Services,0.05211816915838913,0.04955093215302272,0.0025672370053664087,,,,,,,,0.05243916698978018,-0.0003209978313910497,-0.00314740443415,0.0028264066027589504,0.3333333333333333,42,3,"Índice implícito (managers índice, ponderado por valor)",3226677783.7353325,4341730992.577844,3916865216.2646675,46,16
2011-12-31,Consumer Discretionary,0.1479395545464454,0.1514181079664969,-0.0034785534200515167,,,,,,,,0.14421036223141237,0.0037291923150330197,0.007534994267216377,-0.0038058019521833575,0.38095238095238093,42,3,"Índice implícito (managers índice, ponderado por valor)",6720981032.094006,13389549716.583687,9127836967.905994,118,45
