period,sector,value_usd,share,share_prev,d_share,value_prev,d_value
2012-06-30,ETF - Broad Equity,90720616000.0,0.03047194670229911,0.03137561217681757,-0.0009036654745184607,92246832000.0,-1526216000.0
2012-06-30,ETF - Commodity,49482350000.0,0.016620516905490483,0.016928825422522262,-0.0003083085170317787,49772113000.0,-289763000.0
2012-06-30,ETF - Fixed Income,53869843000.0,0.01809422220807254,0.017819901301716172,0.00027432090635636647,52391948000.0,1477895000.0
2012-06-30,ETF - International Equity,38473262000.0,0.012922698729554368,0.01324789551542331,-0.00032519678586894266,38949882000.0,-476620000.0
2012-06-30,ETF - Sector,77821373000.0,0.02613924855135176,0.026409839988929883,-0.0002705914375781236,77647061000.0,174312000.0
2012-06-30,Energy,228920532000.0,0.07689161028366429,0.06724267180711875,0.009648938476545535,197698882000.0,31221650000.0
2012-06-30,Financials,482806280000.0,0.16216873165516538,0.16794085957992747,-0.005772127924762088,493759681000.0,-10953401000.0
2012-06-30,Health Care,341692875000.0,0.11477046270888805,0.11667412676800172,-0.0019036640591136716,343031349000.0,-1338474000.0
2012-06-30,Industrials,253872601000.0,0.08527270545480035,0.08852057954357392,-0.0032478740887735696,260257648000.0,-6385047000.0
2012-06-30,Information Technology,378635863000.0,0.12717916109514762,0.12801849460522938,-0.0008393335100817523,376384706000.0,2251157000.0
2012-06-30,Materials,137176549000.0,0.046075927107167375,0.04750171065542171,-0.0014257835482543377,139658863000.0,-2482314000.0
2012-06-30,Real Estate,82297379000.0,0.027642684289389197,0.027558038061557894,8.464622783130316e-05,81022856000.0,1274523000.0
2012-06-30,Utilities,45536841000.0,0.015295268629382642,0.014309345629235254,0.0009859230001473887,42070631000.0,3466210000.0
2012-09-30,Communication Services,195142158000.0,0.06022272945318686,0.05724685348065843,0.0029758759725284287,170434461000.0,24707697000.0
2012-09-30,Consumer Discretionary,410763195000.0,0.12676543610741273,0.12214600692527657,0.004619429182136162,363651233000.0,47111962000.0
2012-09-30,Consumer Staples,192098984000.0,0.059283576958619424,0.06106195527369184,-0.0017783783150724167,181792724000.0,10306260000.0
2012-09-30,ETF - Broad Equity,95518809000.0,0.02947801464867284,0.03047194670229911,-0.0009939320536262695,90720616000.0,4798193000.0
2012-09-30,ETF - Commodity,49678070000.0,0.01533112578045016,0.016620516905490483,-0.0012893911250403227,49482350000.0,195720000.0
2012-09-30,ETF - Fixed Income,55803526000.0,0.017221499871042108,0.01809422220807254,-0.0008727223370304307,53869843000.0,1933683000.0
2012-09-30,ETF - International Equity,40339608000.0,0.01244918742177491,0.012922698729554368,-0.00047351130777945755,38473262000.0,1866346000.0
2012-09-30,ETF - Sector,83020569000.0,0.025620938689919746,0.02613924855135176,-0.000518309861432014,77821373000.0,5199196000.0
2012-09-30,Energy,250831138000.0,0.07740887933712907,0.07689161028366429,0.0005172690534647889,228920532000.0,21910606000.0
2012-09-30,Financials,530545899000.0,0.16373151996184648,0.16216873165516538,0.0015627883066811066,482806280000.0,47739619000.0
2012-09-30,Health Care,362719131000.0,0.11193858014887814,0.11477046270888805,-0.0028318825600099073,341692875000.0,21026256000.0
2012-09-30,Industrials,269496531000.0,0.08316919747800157,0.08527270545480035,-0.002103507976798785,253872601000.0,15623930000.0
2012-09-30,Information Technology,421773865000.0,0.13016343378922743,0.12717916109514762,0.0029842726940798037,378635863000.0,43138002000.0
2012-09-30,Materials,154834539000.0,0.04778341414163263,0.046075927107167375,0.0017074870344652576,137176549000.0,17657990000.0
2012-09-30,Real Estate,82213915000.0,0.025371997578976763,0.027642684289389197,-0.0022706867104124347,82297379000.0,-83464000.0
2012-09-30,Utilities,45560708000.0,0.014060468633229146,0.015295268629382642,-0.0012347999961534965,45536841000.0,23867000.0
2012-12-31,Communication Services,202062473000.0,0.060435738272141,0.06022272945318686,0.00021300881895414125,195142158000.0,6920315000.0
