period,sector,avg_weight,avg_weight_prev,d_avg_weight
2016-09-30,Communication Services,0.08091263916709247,,
2016-09-30,Consumer Discretionary,0.09942597555451761,,
2016-09-30,Consumer Staples,0.05394103510778008,,
2016-09-30,ETF - Broad Equity,0.06476548317228131,,
2016-09-30,ETF - Commodity,0.0044735322667799554,,
2016-09-30,ETF - Fixed Income,0.008420372505014661,,
2016-09-30,ETF - International Equity,0.017350757458581157,,
2016-09-30,ETF - Sector,0.003182958239675674,,
2016-09-30,ETF - Thematic,1.2000920450713841e-05,,
2016-09-30,Energy,0.05453272731371041,,
2016-09-30,Financials,0.10960192465893814,,
2016-09-30,Health Care,0.09583746023239705,,
2016-09-30,Industrials,0.0785446459161874,,
2016-09-30,Information Technology,0.10538758000921722,,
2016-09-30,Materials,0.030063281250686236,,
2016-09-30,Real Estate,0.033352262104022194,,
2016-09-30,Unclassified,0.14851822924120472,,
2016-09-30,Utilities,0.011677134881462953,,
2016-12-31,Communication Services,0.08286852455888243,0.08091263916709247,0.001955885391789952
2016-12-31,Consumer Discretionary,0.09779894103357932,0.09942597555451761,-0.001627034520938292
2016-12-31,Consumer Staples,0.045151740943810824,0.05394103510778008,-0.008789294163969258
2016-12-31,ETF - Broad Equity,0.05371758575119007,0.06476548317228131,-0.011047897421091246
2016-12-31,ETF - Commodity,0.0036691331986748563,0.0044735322667799554,-0.0008043990681050992
2016-12-31,ETF - Fixed Income,0.008060801389868215,0.008420372505014661,-0.0003595711151464457
2016-12-31,ETF - International Equity,0.014945681058119544,0.017350757458581157,-0.0024050764004616126
2016-12-31,ETF - Sector,0.005753837599472594,0.003182958239675674,0.0025708793597969204
2016-12-31,ETF - Thematic,9.070417678732146e-06,1.2000920450713841e-05,-2.9305027719816952e-06
2016-12-31,Energy,0.056866943672250335,0.05453272731371041,0.002334216358539927
2016-12-31,Financials,0.12444331247804662,0.10960192465893814,0.014841387819108473
2016-12-31,Health Care,0.0920216181971353,0.09583746023239705,-0.0038158420352617517
2016-12-31,Industrials,0.08178475455735236,0.0785446459161874,0.00324010864116496
2016-12-31,Information Technology,0.11192620173318017,0.10538758000921722,0.0065386217239629535
2016-12-31,Materials,0.030381984281237485,0.030063281250686236,0.00031870303055124907
