period,sector,manager_type,value_usd,share,share_prev,d_share,value_prev,d_value
2021-09-30,Energy,Hedge Fund - Value,182260000.0,0.12221527080680451,0.08929279792720096,0.03292247287960355,142262000.0,39998000.0
2021-09-30,Financials,Asset Manager - Index/Active,389851206000.0,0.10914760825181363,,,,
2021-09-30,Financials,Hedge Fund - Value,186582000.0,0.12511340753689895,0.1193591797179025,0.005754227818996455,190164000.0,-3582000.0
2021-09-30,Health Care,Asset Manager - Index/Active,329108893000.0,0.09214143235291684,,,,
2021-09-30,Health Care,Hedge Fund - Value,89625000.0,0.06009845081784185,0.06190528794733644,-0.0018068371294945942,98628000.0,-9003000.0
2021-09-30,Industrials,Asset Manager - Index/Active,93291882000.0,0.026119159394393212,,,,
2021-09-30,Information Technology,Asset Manager - Index/Active,548182477000.0,0.15347600656160298,,,,
2021-09-30,Materials,Asset Manager - Index/Active,35915447000.0,0.010055336700291687,,,,
2021-09-30,Materials,Hedge Fund - Value,16040000.0,0.010755694852085726,0.009649713031820077,0.0011059818202656495,15374000.0,666000.0
2021-09-30,Real Estate,Asset Manager - Index/Active,60888023000.0,0.017046970688687362,,,,
2021-09-30,Unclassified,Asset Manager - Index/Active,1154350464000.0,0.3231863600544339,,,,
2021-09-30,Unclassified,Hedge Fund - Activist,29323000.0,1.0,0.3720558154272177,0.6279441845727822,450903000.0,-421580000.0
2021-09-30,Unclassified,Hedge Fund - Value,964993000.0,0.6470804390522918,0.6938598098929958,-0.04677937084070394,1105463000.0,-140470000.0
2021-09-30,Utilities,Asset Manager - Index/Active,31189669000.0,0.008732248922466424,,,,
2021-12-31,Consumer Discretionary,Hedge Fund - Activist,274946000.0,0.17777654207794996,0.24168202105249262,-0.06390547897454266,292900000.0,-17954000.0
2021-12-31,Consumer Discretionary,Hedge Fund - Value,105678000.0,0.06045078098990599,,,,
2021-12-31,Consumer Staples,Hedge Fund - Activist,208868000.0,0.13505135841487875,0.14024900921923258,-0.005197650804353832,169971000.0,38897000.0
2021-12-31,ETF - Broad Equity,Hedge Fund - Activist,157285000.0,0.10169845504473736,0.11536954080416,-0.013671085759422635,139819000.0,17466000.0
2021-12-31,ETF - Commodity,Hedge Fund - Value,53323000.0,0.030502252074459748,0.03419828163693093,-0.0036960295624711807,51000000.0,2323000.0
2021-12-31,Energy,Asset Manager - Index/Active,612202000.0,1.0,0.027400291056588554,0.9725997089434114,97867802000.0,-97255600000.0
2021-12-31,Energy,Hedge Fund - Value,153925000.0,0.08804941864788585,0.12221527080680451,-0.034165852158918666,182260000.0,-28335000.0
2021-12-31,Financials,Hedge Fund - Value,273839000.0,0.15664359105485406,0.12511340753689895,0.03153018351795511,186582000.0,87257000.0
2021-12-31,Health Care,Hedge Fund - Activist,188881000.0,0.12212802166325484,0.13064361349689707,-0.008515591833642228,158330000.0,30551000.0
2021-12-31,Health Care,Hedge Fund - Value,88872000.0,0.050837277466785194,0.06009845081784185,-0.009261173351056654,89625000.0,-753000.0
2021-12-31,Information Technology,Hedge Fund - Value,15939000.0,0.009117555197847344,,,,
2021-12-31,Materials,Hedge Fund - Value,16284000.0,0.00931490487745443,0.010755694852085726,-0.0014407899746312972,16040000.0,244000.0
2021-12-31,Unclassified,Hedge Fund - Activist,716602000.0,0.46334562279917907,1.0,-0.536654377200821,29323000.0,687279000.0
2021-12-31,Unclassified,Hedge Fund - Value,1040306000.0,0.5950842196908074,0.6470804390522918,-0.051996219361484464,964993000.0,75313000.0
2022-03-31,Communication Services,Asset Manager - Index/Active,243136155000.0,0.06549940179625421,0.0775968164777466,-0.012097414681492391,277158730000.0,-34022575000.0
2022-03-31,Consumer Discretionary,Asset Manager - Index/Active,295541052000.0,0.079616962406252,0.07920936304119433,0.00040759936505767314,282918391000.0,12622661000.0
2022-03-31,Consumer Staples,Asset Manager - Index/Active,146905552000.0,0.039575462466898505,0.03604495086923965,0.003530511597658853,128744622000.0,18160930000.0
2022-03-31,ETF - Broad Equity,Asset Manager - Index/Active,101409799000.0,0.027319183240264614,0.031576414855266896,-0.004257231615002282,112783996000.0,-11374197000.0
2022-03-31,ETF - Broad Equity,Hedge Fund - Value,829000.0,0.0005267548912273389,0.014610772730239868,-0.014084017839012529,23278000.0,-22449000.0
2022-03-31,ETF - Commodity,Asset Manager - Index/Active,866293000.0,0.0002333740668074744,0.00022014711909789845,1.3226947709575962e-05,786317000.0,79976000.0
2022-03-31,ETF - Commodity,Hedge Fund - Value,69594000.0,0.04422072364303429,0.030502252074459748,0.013718471568574541,53323000.0,16271000.0
2022-03-31,ETF - Fixed Income,Asset Manager - Index/Active,11936719000.0,0.0032156795187864256,0.003511434698946224,-0.0002957551801597985,12542071000.0,-605352000.0
2022-03-31,ETF - International Equity,Asset Manager - Index/Active,15183483000.0,0.004090337998820436,0.004067777529333311,2.2560469487124986e-05,14529205000.0,654278000.0
2022-03-31,ETF - Sector,Asset Manager - Index/Active,1891187000.0,0.0005094742786602536,0.000467066886390934,4.240739226931962e-05,1668260000.0,222927000.0
2022-03-31,ETF - Sector,Hedge Fund - Value,1123000.0,0.0007135654316626074,,,,
2022-03-31,Energy,Asset Manager - Index/Active,141874772000.0,0.0382202009239636,1.0,-0.9617797990760364,612202000.0,141262570000.0
2022-03-31,Energy,Hedge Fund - Value,232099000.0,0.1474780259336238,0.08804941864788585,0.059428607285737955,153925000.0,78174000.0
2022-03-31,Financials,Asset Manager - Index/Active,387021160000.0,0.1042611472674329,0.10914760825181363,-0.004886460984380739,389851206000.0,-2830046000.0
2022-03-31,Financials,Hedge Fund - Value,266373000.0,0.16925606832436663,0.15664359105485406,0.012612477269512562,273839000.0,-7466000.0
2022-03-31,Health Care,Asset Manager - Index/Active,356771576000.0,0.0961120932668646,0.09214143235291684,0.003970660913947752,329108893000.0,27662683000.0
2022-03-31,Health Care,Hedge Fund - Value,89283000.0,0.05673131116218395,0.050837277466785194,0.005894033695398759,88872000.0,411000.0
2022-03-31,Industrials,Asset Manager - Index/Active,103100512000.0,0.027774651042283403,0.026119159394393212,0.0016554916478901914,93291882000.0,9808630000.0
2022-03-31,Information Technology,Asset Manager - Index/Active,619499011000.0,0.1668892667726489,0.15347600656160298,0.013413260211045913,548182477000.0,71316534000.0
2022-03-31,Information Technology,Hedge Fund - Value,15338000.0,0.00974591860270799,0.009117555197847344,0.0006283634048606466,15939000.0,-601000.0
2022-03-31,Materials,Asset Manager - Index/Active,45196416000.0,0.012175639658917254,0.010055336700291687,0.002120302958625567,35915447000.0,9280969000.0
2022-03-31,Materials,Hedge Fund - Value,16779000.0,0.0106615444148414,0.00931490487745443,0.0013466395373869702,16284000.0,495000.0
2022-03-31,Real Estate,Asset Manager - Index/Active,68556694000.0,0.01846875651269903,0.017046970688687362,0.0014217858240116663,60888023000.0,7668671000.0
2022-03-31,Unclassified,Asset Manager - Index/Active,1138407916000.0,0.30668017061518643,0.3231863600544339,-0.016506189439247476,1154350464000.0,-15942548000.0
2022-03-31,Unclassified,Hedge Fund - Activist,57964000.0,1.0,0.46334562279917907,0.536654377200821,716602000.0,-658638000.0
2022-03-31,Unclassified,Hedge Fund - Value,882369000.0,0.560666087596352,0.5950842196908074,-0.034418132094455434,1040306000.0,-157937000.0
2022-03-31,Utilities,Asset Manager - Index/Active,34737971000.0,0.009358198167259933,0.008732248922466424,0.000625949244793509,31189669000.0,3548302000.0
2022-06-30,Communication Services,Asset Manager - Index/Active,194239564000.0,0.06230900056300113,0.06549940179625421,-0.003190401233253086,243136155000.0,-48896591000.0
2022-06-30,Communication Services,Hedge Fund - Value,22170000.0,0.017237746388198402,0.0003807503217583843,0.01685699606644002,547000.0,21623000.0
2022-06-30,Consumer Discretionary,Asset Manager - Index/Active,218163363000.0,0.06998337943135632,0.079616962406252,-0.00963358297489568,295541052000.0,-77377689000.0
2022-06-30,Consumer Discretionary,Hedge Fund - Activist,34099000.0,0.029491256580591763,0.17777654207794996,-0.1482852854973582,274946000.0,-240847000.0
2022-06-30,Consumer Discretionary,Hedge Fund - Value,2035000.0,0.001582264948127368,0.06045078098990599,-0.058868516041778625,105678000.0,-103643000.0
2022-06-30,Consumer Staples,Asset Manager - Index/Active,143070251000.0,0.045894688839538955,0.039575462466898505,0.0063192263726404505,146905552000.0,-3835301000.0
2022-06-30,Consumer Staples,Hedge Fund - Activist,214582000.0,0.18558587699277226,0.13505135841487875,0.05053451857789351,208868000.0,5714000.0
2022-06-30,ETF - Broad Equity,Asset Manager - Index/Active,84606071000.0,0.027140298387265293,0.027319183240264614,-0.00017888485299932116,101409799000.0,-16803728000.0
