period,underlying_asset,value_usd,share,share_prev,d_share,value_prev,d_value
2022-09-30,Warrants/Rights,2000.0,6.796160160945903e-10,9.615994802649687e-10,-2.819834641703784e-10,3000.0,-1000.0
2022-12-31,Commodity (ETF),752277399.0,0.00023550744666841775,0.00022165268595315409,1.385476071526367e-05,652288000.0,99989399.0
2022-12-31,Debt,2737976307.0,0.0008571489851447656,0.0008563114229670712,8.375621776944304e-07,2519986000.0,217990307.0
2022-12-31,Equity,3074547660873.0,0.9625157823896775,0.9601319238532567,0.0023838585364207576,2825512940000.0,249034720873.0
2022-12-31,Equity (ETF),98509152463.0,0.03083920771894811,0.03051638748262167,0.000322820236326439,89804792000.0,8704360463.0
2022-12-31,Fixed Income (ETF),9495695993.0,0.002972716076042789,0.003301904559763334,-0.00032918848372054475,9716971000.0,-221275007.0
2022-12-31,Options,6593111341.0,0.002064034915289935,0.004316785011029619,-0.002252750095739684,12703600000.0,-6110488659.0
2022-12-31,Preferred,1630526392.0,0.0005104514741714148,0.0006550343047924491,-0.00014458283062103428,1927660000.0,-297133608.0
2022-12-31,Warrants/Rights,16453732.0,5.150994057029272e-06,6.796160160945903e-10,5.150314441013177e-06,2000.0,16451732.0
2023-03-31,Commodity (ETF),826997547.0,0.0001129631430524774,0.00023550744666841775,-0.00012254430361594037,752277399.0,74720148.0
2023-03-31,Debt,4279567129.0,0.000584564434984844,0.0008571489851447656,-0.0002725845501599216,2737976307.0,1541590822.0
2023-03-31,Equity,7171814670477.0,0.9796289354253059,0.9625157823896775,0.017113153035628437,3074547660873.0,4097267009604.0
2023-03-31,Equity (ETF),116488700194.0,0.015911691336627357,0.03083920771894811,-0.014927516382320753,98509152463.0,17979547731.0
2023-03-31,Fixed Income (ETF),11712495156.0,0.0015998599640449436,0.002972716076042789,-0.0013728561119978454,9495695993.0,2216799163.0
2023-03-31,Options,13810714404.0,0.0018864647332212246,0.002064034915289935,-0.00017757018206871053,6593111341.0,7217603063.0
2023-03-31,Preferred,2001862888.0,0.0002734430405615091,0.0005104514741714148,-0.00023700843360990566,1630526392.0,371336496.0
2023-03-31,Warrants/Rights,15212365.0,2.077922201698502e-06,5.150994057029272e-06,-3.07307185533077e-06,16453732.0,-1241367.0
2023-06-30,Commodity (ETF),1239213420.0,0.00015763181667565173,0.0001129631430524774,4.466867362317433e-05,826997547.0,412215873.0
2023-06-30,Debt,4795340810.0,0.0006099823252875935,0.000584564434984844,2.541789030274951e-05,4279567129.0,515773681.0
2023-06-30,Equity,7705208003746.0,0.9801265188802215,0.9796289354253059,0.0004975834549155733,7171814670477.0,533393333269.0
2023-06-30,Equity (ETF),120156457477.0,0.015284276599756485,0.015911691336627357,-0.0006274147368708714,116488700194.0,3667757283.0
2023-06-30,Fixed Income (ETF),12276405502.0,0.0015615971149886565,0.0015998599640449436,-3.8262849056287145e-05,11712495156.0,563910346.0
2023-06-30,Options,16035542136.0,0.002039771033367796,0.0018864647332212246,0.00015330630014657141,13810714404.0,2224827732.0
2023-06-30,Preferred,1715906648.0,0.00021826868383177132,0.0002734430405615091,-5.51743567297378e-05,2001862888.0,-285956240.0
2023-06-30,Warrants/Rights,15357688.0,1.9535458705554175e-06,2.077922201698502e-06,-1.2437633114308444e-07,15212365.0,145323.0
2023-09-30,Commodity (ETF),3675143538.0,0.00028388584602304713,0.00015763181667565173,0.0001262540293473954,1239213420.0,2435930118.0
2023-09-30,Debt,28210528275.0,0.0021791175237916567,0.0006099823252875935,0.0015691351985040632,4795340810.0,23415187465.0
2023-09-30,Equity,11442891192169.0,0.8839042103934748,0.9801265188802215,-0.09622230848674673,7705208003746.0,3737683188423.0
2023-09-30,Equity (ETF),224968518111.0,0.01737765543907103,0.015284276599756485,0.002093378839314543,120156457477.0,104812060634.0
2023-09-30,Fixed Income (ETF),28572521034.0,0.0022070795937299795,0.0015615971149886565,0.000645482478741323,12276405502.0,16296115532.0
2023-09-30,Options,1214423298863.0,0.09380792397987221,0.002039771033367796,0.09176815294650442,16035542136.0,1198387756727.0
2023-09-30,Preferred,2798136223.0,0.00021614156310922534,0.00021826868383177132,-2.127120722545989e-06,1715906648.0,1082229575.0
2023-09-30,Warrants/Rights,310514765.0,2.3985660928129078e-05,1.9535458705554175e-06,2.203211505757366e-05,15357688.0,295157077.0
2023-12-31,Commodity (ETF),4631529044.0,0.00031948434052975596,0.00028388584602304713,3.559849450670882e-05,3675143538.0,956385506.0
2023-12-31,Debt,26723372755.0,0.0018433867174863867,0.0021791175237916567,-0.00033573080630526996,28210528275.0,-1487155520.0
2023-12-31,Equity,12817156382736.0,0.8841315072200513,0.8839042103934748,0.0002272968265765174,11442891192169.0,1374265190567.0
2023-12-31,Equity (ETF),251935863614.0,0.017378615674835295,0.01737765543907103,9.602357642669868e-07,224968518111.0,26967345503.0
2023-12-31,Fixed Income (ETF),30587022797.0,0.00210990252122624,0.0022070795937299795,-9.71770725037395e-05,28572521034.0,2014501763.0
2023-12-31,Options,1362172272418.0,0.09396307483058154,0.09380792397987221,0.0001551508507093291,1214423298863.0,147748973555.0
2023-12-31,Preferred,3346877861.0,0.000230868695002666,0.00021614156310922534,1.4727131893440664e-05,2798136223.0,548741638.0
2023-12-31,Warrants/Rights,335747955.0,2.3160000286805754e-05,2.3985660928129078e-05,-8.256606413233237e-07,310514765.0,25233190.0
2024-03-31,Commodity (ETF),4868953979.0,0.0002890323279558157,0.00031948434052975596,-3.0452012573940247e-05,4631529044.0,237424935.0
2024-03-31,Debt,33300366416.0,0.0019767864860729145,0.0018433867174863867,0.00013339976858652773,26723372755.0,6576993661.0
2024-03-31,Equity,14981794994383.0,0.88935387412979,0.8841315072200513,0.005222366909738652,12817156382736.0,2164638611647.0
2024-03-31,Equity (ETF),275280222218.0,0.016341268332177597,0.017378615674835295,-0.0010373473426576983,251935863614.0,23344358604.0
2024-03-31,Fixed Income (ETF),32674594557.0,0.0019396392265267981,0.00210990252122624,-0.00017026329469944186,30587022797.0,2087571760.0
2024-03-31,Options,1507625434253.0,0.08949611987029672,0.09396307483058154,-0.004466954960284819,1362172272418.0,145453161835.0
2024-03-31,Preferred,10078215358.0,0.0005982660873621691,0.000230868695002666,0.0003673973923595031,3346877861.0,6731337497.0
2024-03-31,Warrants/Rights,84456624.0,5.01353981805812e-06,2.3160000286805754e-05,-1.8146460468747634e-05,335747955.0,-251291331.0
2024-06-30,Commodity (ETF),4230823490.0,0.0002461905687941215,0.0002890323279558157,-4.2841759161694234e-05,4868953979.0,-638130489.0
2024-06-30,Debt,35562755230.0,0.002069387900169718,0.0019767864860729145,9.26014140968036e-05,33300366416.0,2262388814.0
2024-06-30,Equity,15421388131857.0,0.8973667478093702,0.88935387412979,0.008012873679580257,14981794994383.0,439593137474.0
2024-06-30,Equity (ETF),278688068972.0,0.01621678956319495,0.016341268332177597,-0.0001244787689826457,275280222218.0,3407846754.0
2024-06-30,Fixed Income (ETF),28962774839.0,0.001685336679330359,0.0019396392265267981,-0.00025430254719643907,32674594557.0,-3711819718.0
2024-06-30,Options,1405891027689.0,0.08180844995953894,0.08949611987029672,-0.007687669910757783,1507625434253.0,-101734406564.0
2024-06-30,Preferred,10329258000.0,0.000601056959301611,0.0005982660873621691,2.790871939441892e-06,10078215358.0,251042642.0
2024-06-30,Warrants/Rights,103807975.0,6.040560300145242e-06,5.01353981805812e-06,1.0270204820871225e-06,84456624.0,19351351.0
2024-09-30,Commodity (ETF),3768707215.0,0.00027811766255046553,0.0002461905687941215,3.192709375634406e-05,4230823490.0,-462116275.0
2024-09-30,Debt,49530166781.0,0.003655156377242331,0.002069387900169718,0.0015857684770726127,35562755230.0,13967411551.0
2024-09-30,Equity,11766066725773.0,0.8682953566040804,0.8973667478093702,-0.029071391205289787,15421388131857.0,-3655321406084.0
2024-09-30,Equity (ETF),172086810281.0,0.01269941619254101,0.01621678956319495,-0.0035173733706539406,278688068972.0,-106601258691.0
2024-09-30,Fixed Income (ETF),19371153188.0,0.0014295246455099215,0.001685336679330359,-0.00025581203382043756,28962774839.0,-9591621651.0
2024-09-30,Options,1531726320894.0,0.11303614733946997,0.08180844995953894,0.03122769737993103,1405891027689.0,125835293205.0
2024-09-30,Preferred,8154972167.0,0.0006018089673358041,0.000601056959301611,7.520080341931251e-07,10329258000.0,-2174285833.0
2024-09-30,Warrants/Rights,60601886.0,4.472211270057438e-06,6.040560300145242e-06,-1.5683490300878043e-06,103807975.0,-43206089.0
2024-12-31,Commodity (ETF),4009947328.0,0.0002987359797729503,0.00027811766255046553,2.0618317222484742e-05,3768707215.0,241240113.0
2024-12-31,Debt,49973975113.0,0.003722997634978184,0.003655156377242331,6.78412577358534e-05,49530166781.0,443808332.0
2024-12-31,Equity,11488957122481.0,0.8559127045355986,0.8682953566040804,-0.01238265206848177,11766066725773.0,-277109603292.0
2024-12-31,Equity (ETF),192649389282.0,0.014352134667196002,0.01269941619254101,0.0016527184746549916,172086810281.0,20562579001.0
2024-12-31,Fixed Income (ETF),18132231330.0,0.0013508281901894687,0.0014295246455099215,-7.869645532045284e-05,19371153188.0,-1238921858.0
2024-12-31,Options,1661973664987.0,0.12381492587194713,0.11303614733946997,0.010778778532477162,1531726320894.0,130247344093.0
2024-12-31,Preferred,7312847957.0,0.0005447978790421191,0.0006018089673358041,-5.701108829368501e-05,8154972167.0,-842124210.0
2024-12-31,Warrants/Rights,38594501.0,2.8752412755091205e-06,4.472211270057438e-06,-1.5969699945483174e-06,60601886.0,-22007385.0
2025-03-31,Commodity (ETF),4629746604.0,0.0003562909925875984,0.0002987359797729503,5.755501281464815e-05,4009947328.0,619799276.0
2025-03-31,Debt,34471031186.0,0.002652784043551512,0.003722997634978184,-0.0010702135914266724,49973975113.0,-15502943927.0
2025-03-31,Equity,11270354673356.0,0.8673316699265918,0.8559127045355986,0.011418965390993185,11488957122481.0,-218602449125.0
2025-03-31,Equity (ETF),192502112037.0,0.014814367705052007,0.014352134667196002,0.0004622330378560042,192649389282.0,-147277245.0
2025-03-31,Fixed Income (ETF),19523923838.0,0.001502500849060657,0.0013508281901894687,0.00015167265887118834,18132231330.0,1391692508.0
2025-03-31,Options,1465346274048.0,0.11276852128667837,0.12381492587194713,-0.01104640458526876,1661973664987.0,-196627390939.0
2025-03-31,Preferred,7426207990.0,0.0005714980197043748,0.0005447978790421191,2.670014066225566e-05,7312847957.0,113360033.0
2025-03-31,Warrants/Rights,30759769.0,2.367176773628719e-06,2.8752412755091205e-06,-5.080645018804015e-07,38594501.0,-7834732.0
2025-06-30,Commodity (ETF),4476381953.0,0.0003012660846799413,0.0003562909925875984,-5.502490790765713e-05,4629746604.0,-153364651.0
2025-06-30,Debt,40282366730.0,0.0027110534877962033,0.002652784043551512,5.8269444244691496e-05,34471031186.0,5811335544.0
2025-06-30,Equity,12816218235594.0,0.8625474610479624,0.8673316699265918,-0.0047842088786294035,11270354673356.0,1545863562238.0
2025-06-30,Equity (ETF),202966947387.0,0.013659928531733388,0.014814367705052007,-0.0011544391733186183,192502112037.0,10464835350.0
2025-06-30,Fixed Income (ETF),18503736522.0,0.0012453245304941418,0.001502500849060657,-0.0002571763185665152,19523923838.0,-1020187316.0
2025-06-30,Options,1767948035977.0,0.11898510634451724,0.11276852128667837,0.006216585057838869,1465346274048.0,302601761929.0
2025-06-30,Preferred,8115818710.0,0.000546204714522919,0.0005714980197043748,-2.5293305181455753e-05,7426207990.0,689610720.0
2025-06-30,Warrants/Rights,54311896.0,3.655258293698193e-06,2.367176773628719e-06,1.288081520069474e-06,30759769.0,23552127.0
2025-09-30,Commodity (ETF),4461615113.0,0.00027417843136199146,0.0003012660846799413,-2.7087653317949835e-05,4476381953.0,-14766840.0
2025-09-30,Debt,44409025478.0,0.0027290558767373335,0.0027110534877962033,1.8002388941130206e-05,40282366730.0,4126658748.0
2025-09-30,Equity,13832732273437.0,0.8500591691852982,0.8625474610479624,-0.012488291862664203,12816218235594.0,1016514037843.0
2025-09-30,Equity (ETF),220290914408.0,0.013537478205974547,0.013659928531733388,-0.00012245032575884142,202966947387.0,17323967021.0
2025-09-30,Fixed Income (ETF),19104302563.0,0.0011740115577711001,0.0012453245304941418,-7.131297272304168e-05,18503736522.0,600566041.0
2025-09-30,Options,2142550288545.0,0.13166556557417916,0.11898510634451724,0.01268045922966192,1767948035977.0,374602252568.0
2025-09-30,Preferred,9078776843.0,0.0005579156270666221,0.000546204714522919,1.17109125437031e-05,8115818710.0,962958133.0
2025-09-30,Warrants/Rights,42724572.0,2.6255416110279033e-06,3.655258293698193e-06,-1.0297166826702896e-06,54311896.0,-11587324.0
2025-12-31,Commodity (ETF),5363501419.0,0.0003323939674950922,0.00027417843136199146,5.821553613310072e-05,4461615113.0,901886306.0
2025-12-31,Debt,42578252203.0,0.002638715472065734,0.0027290558767373335,-9.034040467159957e-05,44409025478.0,-1830773275.0
2025-12-31,Equity,14249876760129.0,0.883112113261732,0.8500591691852982,0.03305294407643378,13832732273437.0,417144486692.0
2025-12-31,Equity (ETF),242904311595.0,0.015053585623508562,0.013537478205974547,0.0015161074175340152,220290914408.0,22613397187.0
2025-12-31,Fixed Income (ETF),16099457900.0,0.0009977367894309127,0.0011740115577711001,-0.0001762747683401874,19104302563.0,-3004844663.0
2025-12-31,Options,1570143120293.0,0.09730697552171451,0.13166556557417916,-0.03435859005246465,2142550288545.0,-572407168252.0
2025-12-31,Preferred,8992312922.0,0.0005572834489262145,0.0005579156270666221,-6.321781404076748e-07,9078776843.0,-86463921.0
2025-12-31,Warrants/Rights,19297259.0,1.195915127022804e-06,2.6255416110279033e-06,-1.4296264840050993e-06,42724572.0,-23427313.0
2026-03-31,Commodity (ETF),5190825454.0,0.0005778994634606973,0.0003323939674950922,0.00024550549596560515,5363501419.0,-172675965.0
2026-03-31,Debt,36765437317.0,0.004093130598914606,0.002638715472065734,0.0014544151268488718,42578252203.0,-5812814886.0
2026-03-31,Equity,7199276808950.0,0.8015022354472038,0.883112113261732,-0.08160987781452822,14249876760129.0,-7050599951179.0
2026-03-31,Equity (ETF),183560667373.0,0.02043598116087689,0.015053585623508562,0.0053823955373683285,242904311595.0,-59343644222.0
2026-03-31,Fixed Income (ETF),10092280573.0,0.0011235830562819613,0.0009977367894309127,0.00012584626685104862,16099457900.0,-6007177327.0
2026-03-31,Options,1538897764475.0,0.17132693061864782,0.09730697552171451,0.07401995509693331,1570143120293.0,-31245355818.0
